"Property","File to add under assets/images/","What it should show","Best size","Appears on","Status"
"Malewa Riverside Resort & Cottages","malewa/accommodation/malewa-cottage-interior.jpg","Inside a cottage at Malewa Riverside Resort","1200 × 1600 px","Malewa / Stay","needed"
"Malewa Riverside Resort & Cottages","malewa/accommodation/ololeshwa-cottage-kitchen-dining.jpg","The open kitchen and dining area of the Ololeshwa Cottage","1200 × 1200 px","Stay","needed"
"Malewa Riverside Resort & Cottages","malewa/accommodation/ololeshwa-cottage-living-room.jpg","The living room of the Ololeshwa Cottage","1200 × 1600 px","Malewa / Stay","needed"
"Malewa Riverside Resort & Cottages","malewa/accommodation/ololeshwa-cottage-outdoor-fireplace.jpg","The outdoor fireplace at the Ololeshwa Cottage","1200 × 1200 px","Stay","needed"
"Malewa Riverside Resort & Cottages","malewa/accommodation/ololeshwa-cottage.jpg","The Ololeshwa Cottage at Malewa Riverside Resort","1600 × 1200 px","Home","needed"
"Malewa Riverside Resort & Cottages","malewa/conference/malewa-conference-delegates.jpg","A church conference at Malewa Riverside Resort","1600 × 1200 px","Conferences","needed"
"Malewa Riverside Resort & Cottages","malewa/conference/malewa-conference-hall.jpg","A conference hall at Malewa Riverside Resort","2400 × 1600 px or larger","Conferences","needed"
"Malewa Riverside Resort & Cottages","malewa/conference/malewa-executive-breakout-room.jpg","An executive breakout room at Malewa Riverside Resort","1600 × 1200 px","Conferences","needed"
"Malewa Riverside Resort & Cottages","malewa/conference/malewa-outdoor-gazebo.jpg","The outdoor gazebo at Malewa Riverside Resort","1600 × 1200 px","Conferences / Experiences","needed"
"Malewa Riverside Resort & Cottages","malewa/experiences/malewa-board-games.jpg","Board games at Malewa Riverside Resort","1600 × 1200 px","Experiences","needed"
"Malewa Riverside Resort & Cottages","malewa/experiences/malewa-bonfire.jpg","The bonfire site at Malewa Riverside Resort","1600 × 1200 px","Experiences","needed"
"Malewa Riverside Resort & Cottages","malewa/experiences/malewa-camping-tents.jpg","Camping tents pitched at Malewa Riverside Resort","1600 × 1200 px","Experiences","needed"
